municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,Prestiti,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,Spese per conto terzi,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI,funzioni,preventivo-spese-disavanzo-di-amministrazione
PORTO AZZURRO,LI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1684542,NA,NA,NA,NA,NA,NA,NA,483145,8597975,NA,NA,NA,NA,6430291,NA
VARALLO POMBIA,NO,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,984265,NA,NA,NA,NA,NA,NA,NA,261981,5464965,NA,NA,NA,NA,4218719,NA
CASALDUNI,BN,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285077,NA,NA,NA,NA,NA,NA,NA,159406,2880529,NA,NA,NA,NA,2436046,NA
SAN GIOVANNI IN FIORE,CS,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAGHERIA,PA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PALAGONIA,CT,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAVISCANINA,CE,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588215,NA,NA,NA,NA,NA,NA,NA,70295,1898891,NA,NA,NA,NA,1240381,NA
PIANA DI MONTE VERNA,CE,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723817,NA,NA,NA,NA,NA,NA,NA,559200,5163048,NA,NA,NA,NA,3880031,0
ROCCABASCERANA,AV,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045459,NA,NA,NA,NA,NA,NA,NA,197500,23236872,NA,NA,NA,NA,21904926,88986
SQUILLACE,CZ,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEROLETO DELLA CHIESA,RC,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERISANO,CS,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN MARCELLINO,CE,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIAREGGIO,LU,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,CH,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASARANO,LE,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
