municipality,province,inhabitants,year,total expense,municipal functions,loan repayment expenses,"agriculture, agri-food policies, and fisheries",financial advances repayment,urban planning and housing development,social welfare and family assistance,energy management and renewable energy development,reserves and contingency funds,justice administration expenses,education and right to study,law enforcement and public safety,"youth development, recreation, and sports initiatives",labor policies and vocational training,intergovernmental transfers and cooperation,international relations and development cooperation,"institutional, general, and administrative services",emergency response and natural disaster management,local business growth and market competitiveness,sustainable development and environmental protection,public transportation services,tourism and territorial promotion,public health and medical services,cultural heritage preservation and development
PORTO AZZURRO,LI,3885.0,2014,8597975.0,6430291.0,1684542.0,,,,,,,,,,,,,,,,,,,,,
VARALLO POMBIA,NO,5049.0,2014,5464965.0,4218719.0,984265.0,,,,,,,,,,,,,,,,,,,,,
CASALDUNI,BN,1458.0,2014,2880529.0,2436046.0,285077.0,,,,,,,,,,,,,,,,,,,,,
SAN GIOVANNI IN FIORE,CS,17898.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
BAGHERIA,PA,56646.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
PALAGONIA,CT,15802.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
RAVISCANINA,CE,1354.0,2014,1898891.0,1240381.0,588215.0,,,,,,,,,,,,,,,,,,,,,
PIANA DI MONTE VERNA,CE,2382.0,2014,5163048.0,3880031.0,723817.0,,,,,,,,,,,,,,,,,,,,,
ROCCABASCERANA,AV,2366.0,2014,23236872.0,21904926.0,1045459.0,,,,,,,,,,,,,,,,,,,,,
SQUILLACE,CZ,3502.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
FEROLETO DELLA CHIESA,RC,1743.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
CERISANO,CS,3281.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
SAN MARCELLINO,CE,13585.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
VIAREGGIO,LU,64503.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
ARI,CH,1177.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
CASARANO,LE,20419.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
POTENZA,PZ,67428.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
SCORDIA,CT,17213.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
CHIARAVALLE CENTRALE,CZ,5816.0,2014,5931217.0,4895715.0,627944.0,,,,,,,,,,,,,,,,,,,,,
SAN NICOLA LA STRADA,CE,22044.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
LENTINI,SR,23500.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI,CS,1749.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
BROLO,ME,5767.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CEFALU',PA,14393.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
ORTA DI ATELLA,CE,27118.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
SCALETTA ZANCLEA,ME,2238.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
MIRABELLA IMBACCARI,CT,5548.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
RODI GARGANICO,FG,3706.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
SAN MARCO IN LAMIS,FG,14444.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
AUGUSTA,SR,36075.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CANCELLO ED ARNONE,CE,5679.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CIVITELLA MESSER RAIMONDO,CH,861.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
QUINDICI,AV,2447.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
ROCCA DI NETO,KR,5580.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CUTRO,KR,10252.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CERRETO SANNITA,BN,4040.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
CIVITALUPARELLA,CH,349.0,2015,,,,,,,,,,,,,,,,,,,,,,,,
BARRAFRANCA,EN,,2016,,,,,,,,,,,,,,,,,,,,,,,,
OFFAGNA,AN,1984.0,2016,2802481.0,,88886.0,0.0,361081.0,27603.0,193611.0,0.0,24761.0,0.0,145915.0,90343.0,73345.0,0.0,0.0,0.0,548431.0,4000.0,5172.0,424340.0,228671.0,61351.0,0.0,12637.0
CARINI,PA,38627.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOCERA TERINESE,CZ,4742.0,2016,8527451.0,,526241.0,0.0,376541.0,168444.0,137479.0,0.0,0.0,0.0,168901.0,50186.0,0.0,0.0,11830.0,0.0,1397494.0,0.0,0.0,685682.0,275144.0,24085.0,0.0,0.0
CALVI,BN,2657.0,2016,3839944.0,,132763.0,0.0,2062393.0,53508.0,34262.0,0.0,0.0,0.0,141567.0,38504.0,10871.0,0.0,0.0,0.0,625049.0,0.0,192741.0,288126.0,5124.0,0.0,0.0,0.0
VILLA LITERNO,CE,12038.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTRICELLO,CZ,5254.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTELTERMINI,AG,,2016,,,,,,,,,,,,,,,,,,,,,,,,
BELCASTRO,CZ,1413.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSSOMELI,CL,,2016,,,,,,,,,,,,,,,,,,,,,,,,
VILLA DI BRIANO,CE,7029.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRATA DI PRINCIPATO ULTRA,AV,2959.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACATE,RG,11182.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTECORVINO PUGLIANO,SA,10798.0,2016,50961329.0,,692709.0,0.0,8000000.0,18042956.0,709740.0,16000.0,297512.0,0.0,1771264.0,328277.0,266750.0,0.0,0.0,0.0,4717989.0,20555.0,46427.0,9414940.0,3943973.0,732.0,0.0,26507.0
CIRO' MARINA,KR,14847.0,2016,,,,,,,,,,,,,,,,,,,,,,,,
LAGONEGRO,PZ,5490.0,2016,16143697.0,,671557.0,18829.0,4325266.0,300064.0,463453.0,3583.0,0.0,317674.0,369733.0,351334.0,551781.0,0.0,0.0,0.0,1780965.0,0.0,7944.0,852176.0,784828.0,221608.0,0.0,0.0
CARIATI,CS,8250.0,2016,48036221.0,,1123300.0,0.0,4940648.0,9235075.0,3977108.0,0.0,0.0,303145.0,1591957.0,741087.0,95878.0,0.0,0.0,0.0,9288816.0,59706.0,1359729.0,10815185.0,1359121.0,47908.0,0.0,451186.0
CALVI RISORTA,CE,5678.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORTORICI,ME,5792.0,2016,8971100.0,,477056.0,0.0,4562094.0,88848.0,174012.0,0.0,0.0,7886.0,116430.0,112128.0,29827.0,0.0,0.0,0.0,1843738.0,668.0,0.0,540650.0,355020.0,0.0,0.0,7400.0
PORTO EMPEDOCLE,AG,,2016,,,,,,,,,,,,,,,,,,,,,,,,
BAGNARA CALABRA,RC,10150.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILAZZO,ME,31473.0,2016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN LUCIDO,CS,6036.0,2016,8429501.0,,265813.0,0.0,0.0,1464916.0,542232.0,0.0,0.0,0.0,255100.0,246156.0,23363.0,0.0,0.0,0.0,1882740.0,0.0,0.0,2440011.0,360801.0,27518.0,0.0,0.0
FAVARA,AG,,2016,,,,,,,,,,,,,,,,,,,,,,,,
SAN FELICE A CANCELLO,CE,17560.0,2016,40999626.0,,523036.0,0.0,10661762.0,1359658.0,2133752.0,0.0,2198536.0,18000.0,1475209.0,1017053.0,599524.0,0.0,0.0,0.0,5698744.0,48209.0,526572.0,6997060.0,906190.0,0.0,0.0,3556.0
SAN PAOLO DI CIVITATE,FG,5777.0,2016,7877485.0,,316353.0,2092.0,2846468.0,83555.0,177708.0,0.0,7400.0,0.0,189968.0,118233.0,8710.0,0.0,0.0,0.0,1197545.0,0.0,380959.0,820420.0,18770.0,0.0,2968.0,27380.0
MELISSANO,LE,7173.0,2016,16742127.0,,594285.0,170458.0,2712418.0,366367.0,155081.0,0.0,22000.0,0.0,1286861.0,181932.0,153588.0,0.0,0.0,0.0,2759695.0,0.0,88176.0,5303761.0,1977949.0,0.0,0.0,8528.0
SAN LORENZO,RC,2625.0,2016,11783897.0,,2199744.0,15156.0,0.0,1132622.0,325088.0,2594889.0,50780.0,9948.0,216175.0,77903.0,0.0,0.0,0.0,0.0,1494660.0,36928.0,200.0,2985545.0,0.0,100.0,0.0,121200.0
ACRI,CS,20623.0,2016,40406173.0,,2485064.0,13167.0,5997596.0,999352.0,1169502.0,1918.0,0.0,947.0,1079452.0,445658.0,42534.0,0.0,0.0,0.0,5712252.0,0.0,42395.0,4404512.0,1240809.0,58109.0,0.0,276011.0
BENEVENTO,BN,59789.0,2017,155014714.0,,8150760.0,2673.0,35957604.0,3464255.0,4461431.0,0.0,0.0,151894.0,601561.0,2135975.0,199393.0,0.0,0.0,0.0,9559090.0,160547.0,576329.0,14710969.0,8046113.0,51509.0,0.0,849943.0
MONTEPARANO,TA,2379.0,2017,1720036.0,,114845.0,0.0,188709.0,951.0,9375.0,0.0,0.0,0.0,64283.0,157414.0,0.0,0.0,0.0,0.0,477733.0,0.0,0.0,268494.0,75928.0,0.0,0.0,0.0
BADOLATO,CZ,2974.0,2017,2458633.0,,132833.0,0.0,0.0,19901.0,155672.0,0.0,0.0,1300.0,131949.0,33194.0,2500.0,0.0,0.0,0.0,1198242.0,0.0,38410.0,165689.0,318948.0,0.0,0.0,0.0
CERDA,PA,,2017,,,,,,,,,,,,,,,,,,,,,,,,
CASTELDACCIA,PA,,2017,,,,,,,,,,,,,,,,,,,,,,,,
FRAGNETO L'ABATE,BN,1020.0,2017,,,,,,,,,,,,,,,,,,,,,,,,
BROLO,ME,5767.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTOCANNONE,CB,2490.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLEGRA,RM,2841.0,2017,3642643.0,,281182.0,0.0,1447085.0,1977.0,84517.0,0.0,0.0,0.0,78829.0,103383.0,0.0,0.0,0.0,0.0,525724.0,0.0,0.0,503266.0,29681.0,0.0,0.0,0.0
ALIFE,CE,7638.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAZZARRA' SANT'ANDREA,ME,,2017,,,,,,,,,,,,,,,,,,,,,,,,
SAN CALOGERO,VV,4178.0,2017,3171815.0,,352921.0,0.0,65477.0,88754.0,25976.0,0.0,0.0,0.0,151087.0,83277.0,0.0,103365.0,0.0,0.0,927004.0,0.0,0.0,722141.0,261929.0,0.0,21617.0,900.0
CASTEL CAMPAGNANO,CE,1528.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMANTEA,CS,13975.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTERA,CN,78.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCRI,RC,12367.0,2017,34688011.0,,850407.0,1068.0,0.0,375149.0,746466.0,0.0,129542.0,1201552.0,3571557.0,520180.0,45554.0,0.0,0.0,0.0,8533382.0,2084.0,18824.0,12492366.0,2806240.0,29354.0,0.0,1421948.0
CORCHIANO,VT,3793.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIOIA TAURO,RC,20076.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIZZO,VV,9329.0,2017,46797193.0,,596369.0,0.0,1900000.0,1768885.0,169333.0,0.0,20000.0,43832.0,411531.0,295947.0,638884.0,0.0,0.0,0.0,5713329.0,25490.0,0.0,11935914.0,989487.0,80229.0,0.0,102991.0
MURO LUCANO,PZ,5344.0,2017,21432830.0,,332925.0,480198.0,5500000.0,2191110.0,2204964.0,84646.0,752935.0,0.0,1428022.0,208608.0,58370.0,0.0,0.0,0.0,1698121.0,0.0,26563.0,1085331.0,722444.0,33137.0,0.0,93984.0
AZZANO MELLA,BS,3332.0,2017,2022017.0,,204927.0,0.0,0.0,0.0,111296.0,0.0,0.0,0.0,357541.0,34456.0,7519.0,0.0,0.0,0.0,733236.0,0.0,0.0,266235.0,64508.0,0.0,0.0,4765.0
CHIEUTI,FG,1675.0,2017,10888227.0,,142205.0,0.0,757835.0,484174.0,163609.0,0.0,0.0,0.0,210983.0,98363.0,153059.0,0.0,0.0,0.0,1763458.0,8984.0,516.0,1833630.0,808821.0,0.0,0.0,48880.0
TAURIANOVA,RC,15501.0,2017,31941408.0,,668369.0,0.0,4000000.0,272325.0,967134.0,300000.0,23000.0,0.0,463792.0,464100.0,28900.0,0.0,0.0,0.0,3718406.0,84000.0,72267.0,2822387.0,579282.0,0.0,0.0,45300.0
SAN MANGO D'AQUINO,CZ,1526.0,2017,,,,,,,,,,,,,,,,,,,,,,,,
ARDEA,RM,49663.0,2017,32674394.0,,1671594.0,0.0,145311.0,197927.0,3872234.0,0.0,0.0,0.0,2933623.0,1084654.0,10211.0,0.0,0.0,0.0,7870232.0,22400.0,383554.0,9846973.0,1449173.0,39711.0,0.0,31577.0
BOVALINO,RC,8898.0,2017,28821404.0,,491183.0,0.0,500000.0,640369.0,4314794.0,0.0,21000.0,0.0,1460884.0,137510.0,400000.0,0.0,0.0,0.0,6316625.0,415752.0,0.0,10488723.0,15006.0,0.0,0.0,248775.0
CASSARO,SR,779.0,2017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOTERA,VV,6208.0,2018,3611837.0,,305937.0,0.0,0.0,188332.0,4109.0,0.0,0.0,0.0,201850.0,107323.0,324.0,0.0,0.0,0.0,1121538.0,263.0,0.0,1154135.0,0.0,0.0,0.0,0.0
SOMMATINO,CL,6777.0,2018,,,,,,,,,,,,,,,,,,,,,,,,
TERNI,TR,110749.0,2018,205469060.0,,11468892.0,277.0,76726253.0,2304675.0,8063608.0,0.0,0.0,37367.0,6806941.0,4159436.0,924384.0,0.0,0.0,0.0,26169002.0,960726.0,771887.0,23466082.0,6809588.0,411329.0,681215.0,2562549.0
RIACE,RC,2321.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORGETTO,PA,7359.0,2018,,,,,,,,,,,,,,,,,,,,,,,,
PIGNATARO INTERAMNA,FR,2499.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONREALE,PA,38884.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTE PORZIO CATONE,RM,8758.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAGARISE,CZ,1582.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANDATORICCIO,CS,2741.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASERTA,CE,75430.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIZZINI,CT,6029.0,2018,,,,,,,,,,,,,,,,,,,,,,,,
ARAGONA,AG,9362.0,2018,,,,,,,,,,,,,,,,,,,,,,,,
CAULONIA,RC,7119.0,2018,16360477.0,,393261.0,0.0,6471786.0,358713.0,1724993.0,0.0,0.0,0.0,251883.0,279042.0,4997.0,0.0,0.0,0.0,2186708.0,0.0,5762.0,1342112.0,0.0,0.0,0.0,267509.0
BOLOGNETTA,PA,4194.0,2018,,,,,,,,,,,,,,,,,,,,,,,,
CARDETO,RC,1521.0,2018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
