Municipality,province,inhabitants,Year,Total Revenues,Taxes and Duties,Extra-Tax Revenues,External Public Funding,Loans,Custodial Revenues,Capital Transfers,Revenues from Reduction of Financial Activities,Capital Revenues
PORTO AZZURRO,LI,3885.0,2014,8929775.0,3445569.0,1092124.0,331141.0,3160587.0,422960.0,477394.0,,
VARALLO POMBIA,NO,5049.0,2014,4922297.0,2264235.0,1661768.0,92253.0,530281.0,246304.0,127457.0,,
CASALDUNI,BN,1458.0,2014,2726798.0,812667.0,436879.0,261181.0,322180.0,182702.0,711188.0,,
SAN GIOVANNI IN FIORE,CS,17898.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
BAGHERIA,PA,56646.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
PALAGONIA,CT,15802.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
RAVISCANINA,CE,1354.0,2014,1697058.0,723211.0,118384.0,66329.0,513267.0,69022.0,206845.0,,
PIANA DI MONTE VERNA,CE,2382.0,2014,5163048.0,1547669.0,284800.0,313317.0,500000.0,559200.0,1958062.0,,
ROCCABASCERANA,AV,2366.0,2014,23236873.0,1379094.0,1336343.0,361317.0,830518.0,197500.0,19132101.0,,
SQUILLACE,CZ,3502.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
FEROLETO DELLA CHIESA,RC,1743.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
CERISANO,CS,3281.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
SAN MARCELLINO,CE,13585.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
VIAREGGIO,LU,64503.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
ARI,CH,1177.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
CASARANO,LE,20419.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
POTENZA,PZ,67428.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
SCORDIA,CT,17213.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
CHIARAVALLE CENTRALE,CZ,5816.0,2014,5582199.0,2044475.0,343182.0,488232.0,2012845.0,407060.0,286404.0,,
SAN NICOLA LA STRADA,CE,22044.0,2014,,0.0,0.0,0.0,0.0,,0.0,,
