municipalities,inhabitants
porto-azzurro,3885
varallo-pombia,5049
casalduni,1458
san-giovanni-in-fiore,17898
bagheria,56646
palagonia,16596
raviscanina,1354
piana-di-monte-verna,2382
roccabascerana,2366
squillace,3502
feroleto-della-chiesa,1743
cerisano,3281
san-marcellino,13585
viareggio,64503
ari,1177
casarano,20419
potenza,67428
scordia,17213
chiaravalle-centrale,5816
san-nicola-la-strada,22044
lacco-ameno,4678
lentini,23500
grimaldi,1749
brolo,5846
cefalu,14393
orta-di-atella,23322
scaletta-zanclea,2238
mirabella-imbaccari,5548
rodi-garganico,3706
san-marco-in-lamis,14444
augusta,36075
cancello-ed-arnone,5582
civitella-messer-raimondo,861
quindici,2447
rocca-di-neto,5580
cutro,10252
cerreto-sannita,4040
civitaluparella,349
barrafranca,
offagna,1984
carini,38627
nocera-terinese,4742
calvi,2657
villa-literno,12038
botricello,5254
casteltermini,
caivano,37790
belcastro,1413
mussomeli,
villa-di-briano,7029
prata-di-principato-ultra,2959
acate,11182
montecorvino-pugliano,10798
ciro-marina,14847
lagonegro,5490
cariati,8250
calvi-risorta,5678
tortorici,6318
porto-empedocle,
bagnara-calabra,10150
milazzo,31473
san-lucido,6036
favara,
san-felice-a-cancello,17560
san-paolo-di-civitate,5777
melissano,7173
san-lorenzo,2625
acri,20623
benevento,59789
monteparano,2379
badolato,2974
cerda,
casteldaccia,
fragneto-labate,1020
brolo,5767
portocannone,2490
bellegra,2841
alife,7638
mazzarra-santandrea,
san-calogero,4178
castel-campagnano,1528
amantea,13975
argentera,78
locri,12367
corchiano,3793
gioia-tauro,20076
pizzo,9329
muro-lucano,5344
azzano-mella,3332
chieuti,1675
taurianova,15501
san-mango-daquino,1526
ardea,49663
bovalino,8898
cassaro,779
nicotera,6208
sommatino,6777
terni,110749
riace,2321
borgetto,7359
pignataro-interamna,2499
monreale,38884
monte-porzio-catone,8758
zagarise,1582
mandatoriccio,2741
caserta,75430
vizzini,6029
aragona,9362
villaricca,31182
caulonia,7119
bolognetta,4194
cardeto,1521
campione-ditalia,1961
bacoli,26245
cassino,36612
san-lorenzo-del-vallo,3306
giarre,27444
cancello-ed-arnone,5679
santa-marinella,18933
carolei,3335
bojano,8033
montemiletto,5248
partinico,31840
marano-di-napoli,60163
catania,311584
piedimonte-matese,10604
melito-di-napoli,35848
santagata-de-goti,10785
magliano-romano,1455
castelvetrano,30540
san-fratello,3462
fratte-rosa,917
motta-san-giovanni,5805
crucoli,2926
casandrino,13561
quarto,39451
lavagna,12440
santarpino,14831
randazzo,10579
dinami,1977
castrovillari,21666
marineo,6313
san-lorenzo-maggiore,2021
cerchiara-di-calabria,2325
paolisi,2052
pachino,21758
nola,34266
briatico,4189
pagani,35129
rosolini,20750
belvedere-marittimo,9172
lucera,32194
cosenza,65623
portico-di-caserta,7840
massarosa,21615
morolo,3214
condofuri,4861
scanno,1767
riesi,10985
caraffa-di-catanzaro,1732
ficarazzi,12768
melito-di-porto-salvo,10650
palombaro,975
piazza-armerina,20749
grumo-nevano,17274
belmonte-mezzagno,10905
ferruzzano,771
tursi,4849
foppolo,172
valle-di-maddaloni,2631
palizzi,2097
casoria,74115
leonforte,12583
poggio-nativo,2513
buscemi,978
dragoni,1998
grumo-appula,12298
pietrastornina,1429
arpino,6898
brancaleone,3314
altilia,671
santa-domenica-vittoria,871
benestare,2469
aidone,4389
ispica,16127
trabia,10279
acquappesa,1743
santagata-di-esaro,1715
maniace,3768
decollatura,2920
militello-rosmarino,1174
mongiardino-ligure,154
bisignano,9614
santantimo,32576
taormina,10473
serra-san-bruno,6355
amorosi,2641
tora-e-piccilli,792
barrafranca,
floridia,21471
casignana,707
luogosano,1097
soveria-mannelli,2903
guardiagrele,8548
villa-san-giovanni,12920
fiumefreddo-di-sicilia,9128
palagonia,15802
itala,1495
naro,7051
mariglianella,7832
frascati,22705
canicatti,34588
calatabiano,5167
crosia,9630
afragola,62198
caltagirone,36058
amendolara,2760
bolognano,1024
tortorici,5792
carinola,7216
joppolo,1671
pedara,14915
frignano,9010
ceretto-lomellina,178
casacanditella,1170
gualtieri-sicamino,1591
malvagna,639
san-daniele-po,1291
noto,23905
santo-stefano-roero,1325
pizzone,315
pietradefusi,1965
graniti,1449
paolisi,2007
grotteria,2881
santa-venerina,8421
santangelo-a-fasanella,514
niscemi,25179
isola-delle-femmine,7084
petrosino,7962
gioia-sannitica,3357
ustica,1307
montelanico,2066
oliveri,2048
mazzarino,
chieti,48666
pietrapaola,1021
torrice,4733
pietradefusi,1965
caccamo,7747
orta-di-atella,27118
chiaramonte-gulfi,8024
volla,25369
aci-catena,28124
moio-alcantara,685
milo,1038
gela,71937
bassiano,1461
barcellona-pozzo-di-gotto,40029
genazzano,5611
santalfio,1518
camastra,1947
capizzi,2888
